,model_name,rmse,created_at,params,train_size,features,git_commit
28,LGBM optuna 8,0.7182564940796051,2020-06-23 17:06:00,"{'feature_fraction': 0.3460465712896085, 'bagging_fraction': 0.6177954205614734, 'n_estimators': 1000, 'learning_rate': 0.04000652828775648, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0, 'early_stopping_at': 906}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
29,LGBM optuna 8,0.7183601243375918,2020-06-23 22:50:00,"{'feature_fraction': 0.5286698491387686, 'bagging_fraction': 0.4001061358376617, 'n_estimators': 6000, 'learning_rate': 0.049256300128649164, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 942}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
30,LGBM optuna 8,0.7184639326179384,2020-06-23 19:58:00,"{'feature_fraction': 0.5939104911736097, 'bagging_fraction': 0.5046566999770963, 'n_estimators': 6000, 'learning_rate': 0.03366822146664562, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 885}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
31,LGBM optuna 8,0.7188296339963061,2020-06-23 22:22:00,"{'feature_fraction': 0.6670309090041457, 'bagging_fraction': 0.4015635400198344, 'n_estimators': 3000, 'learning_rate': 0.039849191424500434, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 594}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
32,LGBM optuna 8,0.7188328423201441,2020-06-23 19:36:00,"{'feature_fraction': 0.3084063912855387, 'bagging_fraction': 0.6167503430231732, 'n_estimators': 6000, 'learning_rate': 0.00686726936504992, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0, 'early_stopping_at': 5064}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
33,LGBM optuna 8,0.7188837963882849,2020-06-23 17:57:00,"{'feature_fraction': 0.7700502047344863, 'bagging_fraction': 0.4106132645322923, 'n_estimators': 6000, 'learning_rate': 0.0034886839638064906, 'objective': 'poisson', 'early_stopping_rounds': 100, 'lambda_l1': 0, 'early_stopping_at': 6000}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
34,LGBM_cat,0.7192872280002023,2020-06-23 15:08:00,"{'feature_fraction': 0.58, 'bagging_fraction': 0.47, 'n_estimators': 4000, 'learning_rate': 0.0285, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'min_child_samples': 5}",2000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8, cum_mse",8ffe31d
35,LGBM optuna 8,0.7192882935713101,2020-06-23 22:46:00,"{'feature_fraction': 0.4991727639300573, 'bagging_fraction': 0.43002604250428467, 'n_estimators': 6000, 'learning_rate': 0.040962457482765856, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 964}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
36,LGBM optuna 8,0.7193077419965883,2020-06-23 19:49:00,"{'feature_fraction': 0.5706172796164458, 'bagging_fraction': 0.48293485585870854, 'n_estimators': 6000, 'learning_rate': 0.01934308849848464, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 1272}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
37,LGBM optuna 8,0.7193353000131852,2020-06-23 19:22:00,"{'feature_fraction': 0.4117771438950688, 'bagging_fraction': 0.5213208628369586, 'n_estimators': 3000, 'learning_rate': 0.02100460972963686, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 2289}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
