,model_name,rmse,created_at,params,train_size,features,git_commit
21,LGBM optuna 7,0.7313617428843614,2020-06-23 06:30:00,"{'feature_fraction': 0.46521853522359835, 'bagging_fraction': 0.44027749783437675, 'n_estimators': 1000, 'learning_rate': 0.14831250522561626, 'objective': 'poisson', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
22,LGBM optuna 7,0.7312559381353088,2020-06-23 07:35:00,"{'feature_fraction': 0.4844544415880596, 'bagging_fraction': 0.579630286063003, 'n_estimators': 1000, 'learning_rate': 0.17485141729542622, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
23,LGBM optuna 7,0.7310838012804295,2020-06-23 06:26:00,"{'feature_fraction': 0.5755265524904432, 'bagging_fraction': 0.4544645564887844, 'n_estimators': 1000, 'learning_rate': 0.08365524182251624, 'objective': 'poisson', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
24,LGBM optuna 7,0.7310388260248362,2020-06-23 06:00:00,"{'feature_fraction': 0.5153436419412234, 'bagging_fraction': 0.5476161428464327, 'n_estimators': 9000, 'learning_rate': 0.1844998095936703, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
25,LGBM optuna 7,0.730834722114469,2020-06-23 05:30:00,"{'feature_fraction': 0.5696287681816554, 'bagging_fraction': 0.6040993896793547, 'n_estimators': 9000, 'learning_rate': 0.13369005472020912, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
26,LGBM optuna 3,0.7307966062856068,2020-06-23 02:13:00,"{'feature_fraction': 0.5198309163306291, 'bagging_fraction': 0.5583725415137997, 'n_estimators': 3500, 'learning_rate': 0.21310617818493038, 'objective': 'poisson', 'early_stopping_rounds': 100, 'lambda_l1': 0, 'min_child_samples': 76, 'train_size': 9000000}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
27,LGBM optuna 7,0.7306705093233689,2020-06-23 06:42:00,"{'feature_fraction': 0.4972128011207623, 'bagging_fraction': 0.41837096891372616, 'n_estimators': 1000, 'learning_rate': 0.140794559934304, 'objective': 'poisson', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
28,LGBM optuna 7,0.7306519736196697,2020-06-23 07:28:00,"{'feature_fraction': 0.33461567722268787, 'bagging_fraction': 0.5941990618001006, 'n_estimators': 1000, 'learning_rate': 0.10762979028781813, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
29,LGBM optuna 7,0.7306139288636948,2020-06-23 09:03:00,"{'feature_fraction': 0.3277808879844169, 'bagging_fraction': 0.4643219217846748, 'n_estimators': 9000, 'learning_rate': 0.15137586906227124, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
30,LGBM optuna 7,0.7306013430300522,2020-06-23 08:29:00,"{'feature_fraction': 0.30067776630789156, 'bagging_fraction': 0.5508054409608791, 'n_estimators': 9000, 'learning_rate': 0.10263517752786763, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
31,LGBM optuna 3,0.730469449796927,2020-06-23 02:19:00,"{'feature_fraction': 0.5063921218083106, 'bagging_fraction': 0.40996150378928176, 'n_estimators': 3500, 'learning_rate': 0.24094524726832459, 'objective': 'poisson', 'early_stopping_rounds': 100, 'lambda_l1': 0, 'min_child_samples': 27, 'train_size': 9000000}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
32,LGBM optuna 7,0.7303328045806895,2020-06-23 07:56:00,"{'feature_fraction': 0.34350825482103853, 'bagging_fraction': 0.5234786571898369, 'n_estimators': 9000, 'learning_rate': 0.13657330370455714, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
33,LGBM optuna 7,0.7302274649377442,2020-06-23 07:18:00,"{'feature_fraction': 0.45929286499902194, 'bagging_fraction': 0.46744012701722576, 'n_estimators': 1000, 'learning_rate': 0.15618476554577362, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
